id,name
156112,wake
177755,public works
200798,short time to live
208997,bureaucrat
217992,thoughts of retirement
223019,terminal cancer
237795,city park
244133,civil servant
269251,drunk nostalgia
297223,monotonous life
319176,accomplishments
319179,office gossip
407,dictator
928,hairdresser
1453,amnesia
1755,fascism
1956,world war ii
2444,jewish ghetto
2504,world war i
2652,nazi
2903,propaganda
3061,national socialism
3068,national socialist party
6001,speech
8201,satire
12999,black and white
158192,barbershop
165431,anti war
191027,fictitious country
10232,fame
18001,rock band
34265,heartbreak
156203,sketch comedy
189208,ecuador
211297,white lie
252954,band competition
242,new york city
417,corruption
697,loss of loved one
782,assassin
796,police brutality
922,hotel room
1470,s.w.a.t.
2356,immigrant
2708,hitman
4613,training
9748,revenge
9826,murder
9957,loneliness
10226,neighbor
10703,tragic love
34117,cult film
206671,city life
207268,neo-noir
233083,complex relationship
30,individual
490,philosophy
496,poetry
1992,professor
2132,literature
6054,friendship
10508,teacher
10683,coming of age
15165,school play
156799,vermont
170378,schoolteacher
185158,preparatory school
208611,1950s
296608,teenager
389,clock tower
391,flying car
830,car race
949,terrorist
952,lightning
953,guitar
955,plutonium
1436,inventor
1743,journey in the past
3338,invention
4379,time travel
4776,race against time
6733,bullying
10125,mad scientist
11860,fish out of water
18425,teenage love
40850,destiny
186189,hidden identity
206715,love and romance
206720,teenage life
206736,changing the past or future
208611,1950s
1252,suicide attempt
1604,operation
1741,blindness and impaired vision
2038,love of one's life
2480,eye operation
2779,flower shop
4485,flower girl
5386,tramp
9673,love
12999,black and white
33626,millionaire
154802,silent film
176745,blind girl
183875,little tramp
314,life and death
6564,terminal illness
10163,cancer
232260,aspiring musician
3605,baseball bat
6270,high school
9322,taiwan
9672,based on true story
9826,murder
10683,coming of age
10726,gang
10766,youth gang
14857,juvenile delinquent
18068,teenage boy
156316,troubled teen
157303,first love
188610,taipei
208992,1960s
228988,slow cinema
242689,teenage protagonist
1327,war crimes
1956,world war ii
2652,nazi
5403,wehrmacht
6255,insanity
9887,surrealism
10809,teenage girl
11872,atrocity
14900,genocide
166454,russian army
168839,mine field
190351,horrors of war
190352,premature aging
190353,byelorussia
241982,children in wartime
378,prison
10685,escape
14778,urination
33808,warden
173974,manhole
175676,toothbrush
189102,tunnel
206008,hourglass
207268,neo-noir
1576,technology
4565,dystopia
10046,mecha
14643,battle
207473,cyber & mecha
210024,anime
226774,father son conflict
262215,humanity under attack
272793,post apocalypse
279600,white snake
697,loss of loved one
1415,small town
2089,harmonica
10955,wedding party
156212,spaghetti western
180257,arizona territory
187312,intercontintental railroad
188924,outlaw gang
196584,water pump
207110,mysterious character
235181,boom town
247133,railroad company
258409,hope for a new life
275787,railroad construction
1382,factory
1546,ambulance
3338,invention
5386,tramp
5571,great depression
7025,industrial revolution
9253,slapstick comedy
12999,black and white
33618,machine
33619,pardon
33620,guilty
154802,silent film
6029,concert
11634,live performance
225273,k-pop
251523,idol group
3691,forbidden love
6564,terminal illness
11612,hospital
12392,best friend
13072,falling in love
160767,cystic fibrosis
165086,star crossed lovers
184783,first date
188993,true love
296608,teenager
332,insect
818,based on novel or book
11130,art house
12999,black and white
178080,sand dune
209998,japanese new wave
214613,entomologist
225471,sand pit
233,japan
2340,paranoia
3658,career
6562,celebrity
6844,stalker
10229,singer
10232,fame
11322,female protagonist
12565,psychological thriller
41329,mental illness
41410,madness
156761,split personality
202519,j-pop
208915,celebrity worship
210024,anime
266244,aspiring actress
10683,coming of age
10809,teenage girl
157303,first love
164246,nostalgic
206671,city life
305496,coming out of habits
305497,fresh city
305498,dreaming of a girl
591,cia
726,drug abuse
736,journalist
818,based on novel or book
1008,guerrilla warfare
2956,vietnam
2957,vietnam war
2959,vietcong
2960,cambodia
3269,secret mission
6092,army
6255,insanity
6917,epic
9887,surrealism
10148,tribe
10364,mission
10403,green beret
10787,jungle
11323,descent into madness
14707,brutality
158244,riverboat
162365,military
165431,anti war
3230,male friendship
4501,masseuse
6054,friendship
9672,based on true story
155697,aristocrat
156941,paragliding
165583,interracial friendship
167982,unlikely friendship
179431,duringcreditsstinger
184343,quadriplegic
223004,quadriplegia
74,germany
254,france
818,based on novel or book
1402,general
1627,patriotism
2504,world war i
6092,army
6987,idealism
7956,cowardice
9031,idealist
12999,black and white
13065,soldier
34117,cult film
165431,anti war
210184,1910s
288302,fighting the system
970,parent child relationship
2885,prison cell
9714,remake
12662,wrongful imprisonment
165317,based on movie
187290,mentally challenged
725,lovesickness
810,"budapest, hungary"
1361,salesclerk
5756,man woman relationship
7868,pen pals
7879,secret love
9673,love
14522,co-workers relationship
172841,music box
177972,bickering
186941,gift shop
189966,holiday season
207317,christmas
307665,brownnoser
128,love triangle
6270,high school
9914,slice of life
10614,tragedy
13141,based on manga
14534,relationship
158718,lgbt
210024,anime
265777,gay relationship
289844,boys' love (bl)
311916,band
318550,bisexual male lead
319574,bisexual
3363,hypnosis
3364,sushi restaurant
3927,rage and hate
5585,notebook
5600,daughter
6062,hostility
7412,sin
9748,revenge
9957,loneliness
13006,torture
13141,based on manga
14778,urination
18047,anger
18396,catholic
33841,incest
34117,cult film
207268,neo-noir
241445,asian origins
244917,remade
261681,south korea
273593,hammer
308204,driven to suicide
270,ocean
3799,ship
4344,musical
5164,pianistin
5561,child prodigy
6930,fondling
3205,fairy tale
11478,talking dog
15285,spin off
179430,aftercreditsstinger
188748,talking cat
227812,fear of death
5699,music video
14602,break-up
14720,love affair
34265,heartbreak
164698,boyfriend girlfriend relationship
188293,remembrance
3801,space travel
4379,time travel
5455,time machine
9663,sequel
9715,superhero
9717,based on comic
14909,alien invasion
155030,superhero team
180547,marvel cinematic universe (mcu)
186760,alternate timeline
240303,father daughter relationship
241738,sister sister relationship
9715,superhero
9717,based on comic
253375,dc animated movie universe
2533,fighter pilot
4410,u.s. navy
9663,sequel
160381,nuclear weapons
162365,military
65,holiday
290,angel
974,bank
1252,suicide attempt
1415,small town
5571,great depression
5683,family business 
12999,black and white
15274,nervous breakdown
155733,old house
156282,alternate reality
156578,newlywed
156597,magic realism
171826,told in flashback
184559,guardian angel
196664,high school dance
207317,christmas
818,based on novel or book
1157,husband wife relationship
1508,new mexico
1627,patriotism
1815,atomic bomb
1956,world war ii
4593,atomic bomb test
5565,biography
6012,physics
6078,politics
8012,physicist
9672,based on true story
11211,jewish american
33720,guilt
160381,nuclear weapons
173686,red scare
186790,prometheus
194595,mccarthyism
207883,1940s
211062,ethics
278298,new mexico desert
285398,20th century
285777,manhattan project
297020,los alamos
4344,musical
11469,memory loss
216734,abandonment
232766,vengeance
256035,abandonment issues
970,parent child relationship
1005,karaoke
1329,canada
3356,quebec
10041,dysfunctional family
10683,coming of age
14768,single mother
14857,juvenile delinquent
41329,mental illness
160840,dream sequence
162970,institutionalization
190205,oedipus complex
224177,behavioral disorders
240237,mother son relationship
818,based on novel or book
6564,terminal illness
10614,tragedy
11612,hospital
210024,anime
2343,magic
2858,sacrifice
9715,superhero
9717,based on comic
9882,space
10141,battlefield
14900,genocide
15252,magical object
33637,super power
179430,aftercreditsstinger
180547,marvel cinematic universe (mcu)
231295,cosmic
409,africa
697,loss of loved one
2043,lion
2123,father murder
2887,manipulation
4344,musical
6464,uncle
9826,murder
9900,warthog
11326,shaman
11436,redemption
13084,king
14767,scar
18035,family
18136,hyena
18153,meerkat
18330,nature
244492,mandrill
272794,murder confession
317298,wildebeest
65,holiday
1415,small town
1991,santa claus
2041,island
4461,postman
6054,friendship
6513,cartoon
10385,reindeer
170711,toy maker
207317,christmas
207928,19th century
242214,origin story
251620,town
269233,good versus evil
1721,fight
2343,magic
2800,psychology
6152,supernatural
10292,gore
10349,survival
10614,tragedy
10683,coming of age
13141,based on manga
15001,demon
15126,historical
18035,family
157512,mutilation
177895,dark fantasy
207826,shounen
210024,anime
254547,taisho
1370,shapeshifting
1994,wolf
2343,magic
3057,wolf's lair
3205,fairy tale
5650,feral child
5774,forest
6054,friendship
9720,woods
11322,female protagonist
14985,ireland
18035,family
178856,folklore
180084,werewolf child
212913,healer
232116,wolves
232483,irish folklore
234662,hand drawn animation
240303,father daughter relationship
240315,mother daughter relationship
293198,fantasy
294628,1600s
294629,enchanted forest
818,based on novel or book
3202,con man
3430,pickpocket
9833,lesbian relationship
10454,swindler
11121,plot
12545,mansion
14794,lust
158718,lgbt
183434,noblewoman
209095,con woman
214548,1930s
236643,lady's maid
237671,handmade
245796,seducer
250212,japanese occupation of korea
264386,lesbian
531,southern usa
6054,friendship
7312,road trip
12425,racism
14743,pianist
155963,driver
158718,lgbt
167043,road movie
204236,music tour
208992,1960s
240484,roadtrip
924,italian
13088,summer
39737,seaside
167043,road movie
1994,wolf
5774,forest
9825,growing up
10201,death of father
11004,rural area
12564,werewolf
14768,single mother
180084,werewolf child
182278,farming community
182281,farming
210024,anime
240237,mother son relationship
240315,mother daughter relationship
240485,brother sister relationship
818,based on novel or book
6155,afterlife
10614,tragedy
10873,school
195668,seinen
210024,anime
220800,time-manipulation
245157,alternate universe
428,nurse
718,confession
1566,dream
3394,identity crisis
4280,mental breakdown
10085,betrayal
10392,mute
14781,patient
159313,psychiatry
166989,submerged
198914,institution
227947,dual personality
228296,stage actress
252612,duality
273000,dissociative identities
534,mexico
953,guitar
4048,musician
4062,skeleton
6155,afterlife
10229,singer
190287,life after death
208349,child
209789,day of the dead
242,new york city
613,new year's eve
725,lovesickness
965,age difference
1252,suicide attempt
1438,office
1439,flat
1440,spaghetti
1442,winter
1443,clerk
1487,tennis racket
9799,romantic comedy
12999,black and white
34094,extramarital affair
207317,christmas
428,nurse
2326,alibi
3170,cigarette
3344,letter
4129,widow
9826,murder
10909,lawyer
11038,trial
33519,courtroom
207046,murder mystery
234849,tiki culture
612,hotel
818,based on novel or book
1533,isolation
1611,hotelier
1981,colorado
6262,delusion
9957,loneliness
10241,caretaker
10629,vision
12565,psychological thriller
13028,writer
33457,alcoholic
34117,cult film
190107,snowed in
196986,haunted hotel
268073,writers-block
548,countryside
818,based on novel or book
977,cat
1244,hungary
2217,rain
4932,farm
6917,epic
9957,loneliness
11130,art house
11440,long take
12987,poverty
12999,black and white
13028,writer
33457,alcoholic
41329,mental illness
155164,remodernist
157171,nonlinear timeline
180635,multiple perspectives
215010,contemplative cinema
10235,family relationships
10614,tragedy
10683,coming of age
12554,dragon
13141,based on manga
162365,military
210024,anime
211227,high fantasy
229074,josei
235636,family life
244663,time skip
521,"washington dc, usa"
818,based on novel or book
830,car race
5484,reincarnation
6054,friendship
6075,sports
10039,racing
14725,race car driver
15162,dog
18165,animal
208152,pets
240303,father daughter relationship
258733,animal narrator
90,"paris, france"
1008,guerrilla warfare
1430,self sacrifice
1560,dynamite
1666,mexican standoff
1956,world war ii
2433,jew persecution
2652,nazi
3260,masochism
4426,sadism
10144,anti-semitism
11105,swastika
13519,german occupation of france
33847,british politics
241930,adolf hitler
588,"rome, italy"
924,italian
3197,riding a bicycle
3679,society
5374,poster
9727,thief
11112,search
33612,stolen bicycle
33613,madame
156052,unemployment
158651,realism
208408,neo realism
252193,italian neo realism
213,upper class
417,corruption
596,adultery
2946,presidential election
4344,musical
5565,biography
6415,stage show
10181,based on play or musical
160279,18th century
165241,broadway musical
168418,pistol duel
196684,revolutionary war
197159,founding fathers
206597,stage musical
229756,filmed play
230318,live theatre
212,"london, england"
542,street gang
642,robbery
738,sexuality
818,based on novel or book
970,parent child relationship
1025,great britain
1541,nihilism
2438,social worker
3679,society
4565,dystopia
6259,psychopath
8201,satire
10123,dark comedy
14857,juvenile delinquent
34117,cult film
189409,sex crime
192260,futuristic society
588,"rome, italy"
970,parent child relationship
1394,gladiator
1395,arena
1399,senate
1405,roman empire
2280,emperor
2831,slavery
5049,ancient rome
6917,epic
9748,revenge
10141,battlefield
10520,slave auction
12995,historical fiction
14704,ancient world
18543,combat
179780,chariot
192230,philosopher
235791,barbarian horde
235792,2nd century
235793,successor
242039,commodus
250224,maximus
1327,war crimes
1430,self sacrifice
1543,war veteran
1956,world war ii
2770,war ship
3800,airplane
3930,bravery
4299,"normandy, france"
4300,parachute
4302,troops
4303,waffen ss
4304,omaha beach
6092,army
6917,epic
7956,cowardice
9156,d-day
9672,based on true story
11107,rescue mission
11111,war memorial
11371,deserted town
13065,soldier
34079,death
162365,military
202396,military operation
207883,1940s
818,based on novel or book
1731,writing
9914,slice of life
10028,steampunk
158987,post war
195668,seinen
210024,anime
240155,working life
262205,letters
732,coma
966,beach
1009,baby
1357,fish
1422,boat
1438,office
1480,baseball
1517,classroom
1566,dream
2097,lantern
2251,lie
3734,ambition
4262,tea
4948,retirement
5320,cake
6038,marriage
6057,peace
6069,class
6954,swing
9812,honor
10508,teacher
10873,school
10938,old man
12999,black and white
83,saving the world
310,artificial intelligence (a.i.)
312,man vs machine
490,philosophy
530,prophecy
779,martial arts
1430,self sacrifice
1566,dream
1721,fight
2157,hacker
3074,insurgence
3972,simulated reality 
4563,virtual reality
4565,dystopia
6256,truth
12190,cyberpunk
186789,dream world
187056,woman director
194063,messiah
219404,action hero
221385,gnosticism
803,android
4270,galaxy
4271,hermit
6212,smuggling (contraband)
9715,superhero
9882,space
11107,rescue mission
11195,empire
11196,rebellion
13194,planet
18034,desert
33637,super power
161176,space opera
177912,wizard
178712,totalitarianism
322262,star wars
787,mississippi river
818,based on novel or book
2804,exploitation
6984,racial segregation
12425,racism
13028,writer
13097,maid
13098,moral courage
13099,ressentiment
176219,southern belle
204173,racial issues
208992,1960s
209334,newspaper columnist
6733,bullying
235031,bully victim
271,competition
1523,obsession
2343,magic
2913,diary
3737,dying and death
4034,class society
4662,illusion
4988,tricks
6062,hostility
6069,class
9104,partner
9823,rivalry
10028,steampunk
214839,nikola tesla
244001,tesla coil
316,chess
548,countryside
616,witch
1318,blacksmith
1501,allegory
1715,symbolism
2679,artist
2829,last judgment
2868,crusade
2869,juggler
2871,witch burning
2875,sense of life
3737,dying and death
11187,grim reaper
12999,black and white
15001,demon
41406,middle ages
179870,black death
182210,playing chess
208313,death personified
209837,death incarnate
237612,14th century
818,based on novel or book
2041,island
2215,hurricane
5340,investigation
10323,psychiatric hospital
11207,u.s. marshal
11208,conspiracy theory
12565,psychological thriller
12570,whodunit
207268,neo-noir
208611,1950s
818,based on novel or book
3071,prince
4833,royal family
6078,politics
9920,royalty
158718,lgbt
258533,gay theme
265777,gay relationship
282986,enemies to lovers
289844,boys' love (bl)
83,saving the world
6506,resurrection
9715,superhero
9717,based on comic
155030,superhero team
197327,planet invasion
219404,action hero
229266,dc extended universe (dceu)
265979,superhero teamup
299728,director's cut
233,japan
1956,world war ii
2299,violent father
2821,pacifism
3036,bible
5565,biography
8676,okinawa
8997,conscientious objector
9672,based on true story
10292,gore
11001,religion
13065,soldier
33457,alcoholic
33482,war hero
180507,medic
185454,us military
244233,battle of okinawa
245748,congressional medal of honor
242,new york city
5493,relatives
9856,flashback
10051,heist
10199,gay interest
11734,police corruption
12570,whodunit
14604,theft
15009,criminal
18023,criminal mastermind
158022,cargo ship
184312,mind game
207268,neo-noir
263443,mystery villain
290,angel
1252,suicide attempt
5572,fistfight
9253,slapstick comedy
12999,black and white
14514,class differences
41005,foundling
154802,silent film
160840,dream sequence
165402,semi autobiographical
169498,car theft
183875,little tramp
185201,illegitimate child
209090,unwed mother
223172,abandoned baby
236677,out of wedlock child
237222,raised like own child
255861,good deed doer
233,japan
1701,hero
9715,superhero
14955,fighting
33637,super power
207826,shounen
210024,anime
328,insulin
331,tattoo
828,waitress
1453,amnesia
2231,drug dealer
2669,motel
2887,manipulation
3973,insurance salesman
9748,revenge
9826,murder
9856,flashback
10705,confusion
11469,memory loss
12565,psychological thriller
12570,whodunit
12670,"los angeles, california"
33874,polaroid
34117,cult film
156866,based on short story
157171,nonlinear timeline
161248,individuality
191527,phone call
207268,neo-noir
229787,reverse chronology
588,"rome, italy"
796,police brutality
4553,black humor
11514,social satire
33439,sexual sadism
157707,masochist
189402,crime investigation
211362,political repression
228692,power abuse
